Case,Category,Design_feature,Tier1_strategy,Tier2_strategy,Sustainability_justification,SCAMPER_technique,Creativity_justification,Link
Alu+,Home and Garden,Available as thermostatic or single-lever model,Longevity and Effective Usage,Design for upgradability and adaptability,"Offering different control mechanisms provides consumers with choices that better suit their preferences and potentially lead to longer, more satisfactory use.",Adapt,The availability of different models adapts the product to a wider range of user needs and preferences.,https://www.red-dot.org/project/alu-67964
Alu+,Home and Garden,"Available in Silk Black, RosÃ©, and Silver finishes",Dematerialization,Design for value,"Offering aesthetic choices enhances the perceived value and desirability of the product, potentially leading to longer ownership and less frequent replacement.",Modify,"The addition of multiple color finishes modifies the product's aesthetic appeal, adding value for the consumer.",https://www.red-dot.org/project/alu-67964
OROCHI X10,Sporting Goods,Production from natural fibres,Next-Best Material Selection,Renewable and biodegradable material,Using natural fibers directly supports the use of renewable resources that can biodegrade at the end of their life cycle.,Substitute,This feature likely arose from substituting conventional synthetic materials with natural fibers.,https://www.red-dot.org/project/orochi-x10-68160
OROCHI X10,Sporting Goods,Reduced COâ‚‚ emissions during manufacturing,Green Supply Chain,Detoxified processes,Focusing on reduced COâ‚‚ emissions implies a commitment to cleaner manufacturing processes that minimize environmental impact.,Eliminate,This feature suggests eliminating or reducing polluting elements and processes from the manufacturing chain.,https://www.red-dot.org/project/orochi-x10-68160
OROCHI X10,Sporting Goods,Primary structure made of cellulose microfibrils,Next-Best Material Selection,Renewable and biodegradable material,"Cellulose microfibrils are derived from renewable plant sources and are biodegradable, aligning with sustainable material choices.",Substitute,This feature represents a substitution of traditional structural materials with a bio-based alternative.,https://www.red-dot.org/project/orochi-x10-68160
OROCHI X10,Sporting Goods,Low weight,Dematerialization,Weight reduction,Reducing the weight of the product directly contributes to dematerialization by using less material overall.,Modify,The feature of low weight is achieved by modifying the material composition or structure to be lighter.,https://www.red-dot.org/project/orochi-x10-68160
OROCHI X10,Sporting Goods,High robustness,Longevity and Effective Usage,Design to last,"High robustness ensures the product is durable and can withstand use over a longer period, reducing the need for replacements.",Modify,Robustness is likely achieved by modifying material properties or structural design to enhance strength and resilience.,https://www.red-dot.org/project/orochi-x10-68160
OROCHI X10,Sporting Goods,Ergonomic handle design,Longevity and Effective Usage,Design for multiple uses,"An ergonomic design improves user comfort and efficiency, potentially leading to more effective and prolonged use of the product.",Adapt,This feature is an adaptation of user interface principles to enhance the product's usability and user experience.,https://www.red-dot.org/project/orochi-x10-68160
OROCHI X10,Sporting Goods,Optimized reel seat position,Longevity and Effective Usage,Design for multiple uses,"Optimizing the reel seat position enhances the user's experience and control, contributing to more effective and potentially longer usage periods.",Rearrange,The optimized position suggests rearranging existing components to improve functionality and user interaction.,https://www.red-dot.org/project/orochi-x10-68160
OROCHI X10,Sporting Goods,Durable,Longevity and Effective Usage,Design to last,"Durability directly contributes to the product's lifespan, reducing waste by making it last longer.",Modify,Durability is a result of modifying materials and construction to withstand wear and tear.,https://www.red-dot.org/project/orochi-x10-68160
OROCHI X10,Sporting Goods,Resistant,Longevity and Effective Usage,Design to last,"Resistance to elements or damage ensures the product maintains its functionality over time, extending its useful life.",Modify,Resistance is achieved by modifying the product's materials or coatings to withstand specific environmental factors or stresses.,https://www.red-dot.org/project/orochi-x10-68160
King Arthur,Furniture,Modular table and bench combination,Longevity and Effective Usage,Design for multiple uses,"The modularity allows the furniture to be reconfigured for various arrangements and purposes, extending its useful life and adaptability.",Combine,"This feature combines individual table and bench units into a flexible system, allowing for diverse configurations and user-defined arrangements.",https://www.red-dot.org/project/king-arthur-68974
King Arthur,Furniture,Designed for public spaces,Longevity and Effective Usage,Design to last,Designing for public spaces implies a focus on durability and robustness to withstand heavy use over time.,Adapt,The design is adapted from general furniture concepts to meet the specific demands and usage patterns of public environments.,https://www.red-dot.org/project/king-arthur-68974
King Arthur,Furniture,Offers plenty of space with minimal use of materials,Dematerialization,Minimal material and packaging,This feature directly addresses the efficient use of resources by maximizing functional space while minimizing the quantity of material required.,Eliminate,"The design eliminates excess material by focusing on structural efficiency to provide ample space, thereby reducing the overall material footprint.",https://www.red-dot.org/project/king-arthur-68974
